Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS MONEDERO;LOCAL PUERTO MONTT 3;340948;KIWI ROMANTIC  BARBIE MONEDERO;1672,00;1;0,00;0
EC116293;Ever After High;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL OUT LET BELLOTO;340941;EBANO SUR EAH ESTUCHE;1899,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS MONEDERO;LOCAL MARINA 1;340951;TULIPAN MUSIC  BARBIE MONEDERO;1924,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS MONEDERO;LOCAL MELIPILLA;340951;TULIPAN MUSIC  BARBIE MONEDERO;1924,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL MARINA 1;340920;FASHION 2015 SUR BARBIE ESTUCH;2008,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL CONCEPCION CENTRO;340920;FASHION 2015 SUR BARBIE ESTUCH;2010,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;CONGREGACION HIJAS DE STA MARI;340889;COMPACT 2014 SUR BARBIE ESTUCH;2261,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PUERTO MONTT 3;340921;GLAMOUR 2015 SUR BARBIE ESTUCH;2261,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL ANTOFAGASTA;300363;COMPACT KARAT BARBIE ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PUERTO MONTT 3;340915;CUTE 2015 SUR BARBIE ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL SAN BERNARDO;340915;CUTE 2015 SUR BARBIE ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL CHILLAN 1;340916;DOCILE 2015 SUR BARBIE ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL LOS ANDES;340916;DOCILE 2015 SUR BARBIE ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL LOS ANDES;340920;FASHION 2015 SUR BARBIE ESTUCH;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL OSORNO;340920;FASHION 2015 SUR BARBIE ESTUCH;2513,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PUERTO MONTT;340920;FASHION 2015 SUR BARBIE ESTUCH;2513,00;1;0,00;0
EC116293;Ever After High;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;OUTLET PARK;340943;GLAMOUR SUR EAH ESTUCHE;2513,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL CURICO;340946;ASTER PETS  BARBIE BOLSO;2723,00;1;0,00;0
EC116293;Ever After High;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PORTAL NU?OA;340941;EBANO SUR EAH ESTUCHE;2933,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL CURICO;340900;VANILLA 2014 SUR BARBIE LONCHE;3269,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL EXTRA EL BELLOTO;340945;ABELIA ROMANTIC  BARBIE CARTER;3269,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL TOBALABA;300305;DESTINY PRINCESS BARBIE MOCHIL;3353,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL JUMBO MAIPU;340884;PACK MINI 2014 SUR BARBIE LONC;3353,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL COLINA;340924;VANILLA 2015 SUR BARBIE LONCHE;3353,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL PORTAL NU?OA;340946;ASTER PETS  BARBIE BOLSO;3355,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CURICO;340912;APPLE 2015 SUR BARBIE MOCHILA;3815,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL PUERTO MONTT 3;340945;ABELIA ROMANTIC  BARBIE CARTER;4025,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PORTAL NU?OA;300317;EROS PRINCESS BARBIE LONCHERA;4027,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MELIPILLA;300318;EROS ROCK BARBIE LONCHERA;4027,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL LA REINA;340944;ABELIA MUSIC  BARBIE CARTERA U;4027,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL EXTRA EL BELLOTO;340946;ASTER PETS  BARBIE BOLSO;4193,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL COLINA;340947;GLOSS PETS  BARBIE CARTERA URB;4193,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL OUT LET BELLOTO;340947;GLOSS PETS  BARBIE CARTERA URB;4361,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO VARAS;300237;VANILLA TREND 2012 BARBIE LONC;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA NORTE;300238;EROS TREND BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MARINA 1;300238;EROS TREND BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL  JUMBO RANCAGUA 2;300305;DESTINY PRINCESS BARBIE MOCHIL;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL OSORNO;300305;DESTINY PRINCESS BARBIE MOCHIL;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CHILLAN 1;300306;DESTINY ROMANTIC BARBIE MOCHIL;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL ALAMEDA;300316;EROS KARAT BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL EXTRA EL BELLOTO;300316;EROS KARAT BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PORTAL NU?OA;300318;EROS ROCK BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA EL TREBOL;300320;EROS SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL SAN BERNARDO;300320;EROS SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL SOL 2;300320;EROS SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL  JUMBO RANCAGUA 2;300321;EROS TREND BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;OUTLET PARK;300353;BUBBLE ROCK BARBIE MOCHILA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;300354;BUBBLE SUR BARBIE MOCHILA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL ALAMEDA;300355;BUBBLE TREND BARBIE MOCHILA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL JUMBO MAIPU;340886;BUBBLE 2014 SUR BARBIE MOCHILA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MATIAS COUSI?O;340900;VANILLA 2014 SUR BARBIE LONCHE;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO MONTT 3;340900;VANILLA 2014 SUR BARBIE LONCHE;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA OESTE;340913;BUBBLE 2015 SUR BARBIE MOCHILA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL ARAUCO MAIPU;340918;EROS 2015 SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL CURICO;340918;EROS 2015 SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA EL TREBOL;340918;EROS 2015 SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;PLAZA EGANA;340918;EROS 2015 SUR BARBIE LONCHERA;5034,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL CURICO;340944;ABELIA MUSIC  BARBIE CARTERA U;5034,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL COLINA;340945;ABELIA ROMANTIC  BARBIE CARTER;5034,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL MELIPILLA;340945;ABELIA ROMANTIC  BARBIE CARTER;5034,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;OUTLET PARK;340945;ABELIA ROMANTIC  BARBIE CARTER;5034,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MELIPILLA;340908;FAIRY MORADO EAH LONCHERA;5286,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CHILLAN 2;340912;APPLE 2015 SUR BARBIE MOCHILA;5287,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA LOS ANGELES;300355;BUBBLE TREND BARBIE MOCHILA;5371,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;300244;BUBBLE CORE BARBIE MOCHILA;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL SOL 2;300256;BUBBLE ROMANTIC BARBIE MOCHILA;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL PUERTO MONTT;340912;APPLE 2015 SUR BARBIE MOCHILA;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL PUERTO MONTT 3;340912;APPLE 2015 SUR BARBIE MOCHILA;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL EXTRA EL BELLOTO;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL LOS ANDES;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA NORTE;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA OESTE;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MARINA 1;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MELIPILLA;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO VARAS;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL TOBALABA;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;OUTLET PARK;340924;VANILLA 2015 SUR BARBIE LONCHE;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL CHILLAN 1;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL CHILLAN 2;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL CURICO;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL MARINA 1;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL PUERTO MONTT 3;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL TEMUCO;340949;LILIUM PETS  BARBIE CARTERA UR;5874,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL ALAMEDA;340908;FAIRY MORADO EAH LONCHERA;5874,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA OESTE;340908;FAIRY MORADO EAH LONCHERA;5874,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO MONTT;340908;FAIRY MORADO EAH LONCHERA;5874,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL TALCA;340908;FAIRY MORADO EAH LONCHERA;5874,00;1;0,00;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL TOBALABA;340908;FAIRY MORADO EAH LONCHERA;5874,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;340888;CLOUD 2014 SUR BARBIE MOCHILA;6000,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CHILLAN 2;300355;BUBBLE TREND BARBIE MOCHILA;6043,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL COLINA;300272;EXPRESSION SUR BARBIE MOCHILA;6546,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL PUERTO MONTT;300272;EXPRESSION SUR BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL  JUMBO RANCAGUA 2;300354;BUBBLE SUR BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;300355;BUBBLE TREND BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL TALCA;300355;BUBBLE TREND BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MARINA 1;300357;CARDIGAN ROCK BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL ALAMEDA;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA EL TREBOL;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;PLAZA EGANA;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6714,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL ALAMEDA;340947;GLOSS PETS  BARBIE CARTERA URB;6714,00;1;0,00;0
